기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11620545,청림동,3133297,1459094,1674203,569123,358914,478170,532463,433236,761394,444733,439976,431055,437544,436279,464586,479124
20241,11620565,성현동,4585980,2154004,2431976,794427,590663,669657,775791,671709,1083733,655349,640491,635340,636836,636528,679380,702057
20241,11620575,행운동,7488151,3552137,3936014,802156,1853099,1554586,1026118,869695,1382497,1058180,1058093,1047816,1057462,1040073,1098234,1128294
20241,11620585,낙성대동,6011111,2943990,3067121,646549,1992245,1193691,744317,598342,835969,836648,834727,838674,842412,853719,905016,899914
20241,11620595,청룡동,10659625,5125873,5533752,976999,3116877,2187668,1321944,1227599,1828538,1503692,1501859,1496455,1502688,1487900,1559960,1607072
20241,11620605,은천동,8955442,4230912,4724529,1265444,1482003,1554235,1423498,1207575,2022688,1270357,1250971,1247087,1248041,1247604,1330126,1361256
20241,11620615,중앙동,5397668,2556569,2841099,517066,1397437,1100422,719754,657055,1005933,761567,760592,754278,756624,750405,801745,812457
20241,11620625,인헌동,6224007,2931857,3292149,756540,1419465,1254478,879702,759102,1154721,877618,878642,866423,877061,870302,907203,946757
20241,11620630,남현동,4575405,2200252,2375153,651440,811680,824093,631431,624922,1031838,648596,647788,644321,648640,647273,669854,668931
20241,11620645,서원동,5753813,2916626,2837187,501373,1537171,1230526,758069,678518,1048157,807093,797480,791803,803212,804768,864984,884474
20241,11620655,신원동,6233706,3088530,3145177,523478,1582019,1286978,844502,785813,1210915,881116,864549,867701,867044,866112,918981,968203
20241,11620665,서림동,5252998,2846963,2406034,516542,1374094,1045358,748145,627644,941216,744309,738781,727519,740008,727629,772313,802439
20241,11620685,신사동,7588947,3685863,3903085,629694,1833715,1477355,1009117,1049398,1589669,1070736,1070266,1054887,1070075,1059211,1110043,1153729
20241,11620695,신림동,10009167,5199446,4809722,565276,3486941,2406629,1281100,980265,1288956,1400627,1386457,1389992,1389274,1399174,1508594,1535051
20241,11620715,난향동,1437919,683235,754684,277108,135522,179100,248113,240580,357493,201325,201369,198783,202306,201431,214363,218340
20241,11620725,조원동,7405611,3771108,3634503,488759,1506144,1764727,1267107,1089020,1289854,1064915,1076466,1086476,1077592,1058971,1018790,1022405
20241,11620735,대학동,6666635,3859273,2807363,565653,2104713,1273208,971201,756797,995063,948583,949475,943718,952845,940134,955344,976538
20241,11620745,삼성동,7125849,3642018,3483829,624792,1386723,1047897,1004556,1064690,1997192,1018946,1009299,1005606,1006804,1009712,1028456,1047026
20241,11620765,미성동,5540279,2577461,2962817,877031,805140,851890,845890,850390,1309939,788116,784857,762193,780383,771449,814529,838753
20241,11620775,난곡동,5654796,2674642,2980153,865106,740674,799624,866848,884609,1497935,803217,793691,784274,791620,784586,829925,867482
20241,11650510,서초1동,7739703,3770414,3969288,1164708,1103794,1427578,1535037,1118159,1390426,1151876,1184059,1209540,1174554,1142798,961813,915063
20241,11650520,서초2동,6949721,3443636,3506085,815272,1181229,1631923,1489229,931581,900487,1058359,1113141,1144375,1103267,1051232,776409,702939
20241,11650530,서초3동,11940853,6037350,5903505,1504953,1896418,2411815,2351887,1853094,1922689,1754776,1843910,1890407,1834466,1758236,1428362,1430699
20241,11650531,서초4동,6522208,3164112,3358096,1041131,1292343,1224825,1249973,833375,880563,961787,983880,1013113,984796,988030,855017,735585
